ACHR
AI
ALAB
ALLO
ANET
APLD
APP
ARCT
ARGX
ASAN
ASTS
AUR
AVAV
AXON
BBAI
BEAM
BILL
BLADE
BLDE
BNTX
BRZE
CIEN
CLSK
COHR
COIN
CRCL
CRDO
CRSP
CRWV
DNLI
DOCS
DOMO
DXCM
DYAI
EDIT
FROG
GLXY
GRAB
GTHX
GTLB
HIMS
HOOD
IMVT
INSM
IONQ
IREN
JOBY
KRYS
KTOS
KVYO
LITE
LUNR
MARA
MBLY
MELI
MNDY
MRNA
NARI
NBIS
NNE
NTLA
NTRA
NU
NVAX
NVCR
OKLO
OPEN
PGEN
PL
PRAX
PRCT
PRTA
QBTS
QUBT
RDDT
RGTI
RIOT
RKLB
ROIV
RXRX
SE
SEMR
SMAR
SMMT
SMR
SOFI
SOUN
SRPT
STTK
SYM
SYRE
TASK
TNGX
TSHA
TVTX
TYRA
URGN
VEEV
VKTX
ZI
